Title,Date,View_URL,View,View1,middle,Author,colsm4,colsm42,colsm43,maintext,View4,View5,View6,View7,Like,socialshareicon,socialshareicon_URL,socialshareicon8,socialshareicon_URL9,socialshareicon10,socialshareicon_URL11,socialshareicon12,Content
Current Employee - Anonymous Employee,"December 28, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW23989128.htm,"""Engineer""",4.0,,,,,,I have been working at Google full-time,Pros,High in salary and growth.,Cons,Couldn't think of anything negative.,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW23989128.htm&text=Google+review+on+%23Glassdoor%3A+%22Engineer%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Engineer%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW23989128.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW23989128.htm,Copy Link,Flag as Inappropriate
Current Employee - People Operations,"November 24, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW23544885.htm,"""Still a magical place""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,Sunday is phenomenal. The desire to make it a place of respect and inclusion is authentic even if theyre far from achieving it.,Cons,Hasn't figured out compensation for countries in the emerging markets in Asia,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW23544885.htm&text=Google+review+on+%23Glassdoor%3A+%22Still%20a%20magical%20place%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Still%20a%20magical%20place%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW23544885.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW23544885.htm,Copy Link,Flag as Inappropriate
,"October 26, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW23130748.htm,"""Very Good working environment @ google""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I worked at Google  for more than a year,Pros,fun people to work with,Cons,work can be stressful at times,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW23130748.htm&text=Google+review+on+%23Glassdoor%3A+%22Very%20Good%20working%20environment%20@%20google%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Very%20Good%20working%20environment%20@%20google%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW23130748.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW23130748.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"September 19, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW22567486.htm,"""AccountManager""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,Great Culture & capable team member,Cons,Promotion is hard to get and there is a lot of ambiguity,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW22567486.htm&text=Google+review+on+%23Glassdoor%3A+%22AccountManager%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22AccountManager%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW22567486.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW22567486.htm,Copy Link,Flag as Inappropriate
Current Employee - Software Engineer,"September 15, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW22489549.htm,"""Steadily going downhill""",3.0,,,Doesn't Recommend,Positive Outlook,Disapproves of CEO,I have been working at Google full-time for more than 5 years,Pros,"- Great salary
- Great benefits
- Generally competent engineers
- Culture of helpfulness and quality in many engineering teams. Most engineers will answer your email and give you advice. 
- Can still find interesting technical work, though there's lots of dull work too, especially if you're more junior.",Cons,"- PR-speak is widespread. Executives use vague CYA communication style. To me it's like hearing politicians talk. Transparency has been steadily going down for years, you hear about projects when they're announced or leaked.
- Several high-level execs seem to have a pretty weak ethical compass. Increasing number of ethical scandals, antitrust fines, etc. Internal explanation often weak and unconvincing around these issues.
- Lots of talk of being data driven but what's common is data being used to justify whatever fits data slinger's narrative, including for myopic goal setting that results in adverse second and third order effects (see Goodhart's law). 
- Increasing attitude of engineers just doing whatever they're told, forget the ""do the right thing"" of old times. 
- Project and product churn. Google products are often unfinished and buggy, UIs changing all the time. Lots of talk of rewarding product excellence but lots of cynicism about it (I don't buy it, I don't see the products getting better). Product managers compete to launch  features; engineers have increasingly less power to make product decisions.
- If you're more senior you might get pushed to do management, the old days of having a technical individual career option seems over in many teams, at least if you want to get promoted.
- Internal frameworks tend to be overengineered and complex because of many disparate use cases and legacy, easy things take a long time as a result. Critical internal tools can be unstaffed while projects that go nowhere (how many chat apps?) can have massive headcount.
- Crowded noisy open floor offices, with little privacy. I heard some folks outside engineering don't even get a fixed desk anymore.
- AI seems much more important than privacy. Products and strategy seem aligned with getting Google more and more data. Privacy unfriendly defaults, UIs, etc. Might make you uncomfortable if you work on a consumer product.",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW22489549.htm&text=Google+review+on+%23Glassdoor%3A+%22Steadily%20going%20downhill%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Steadily%20going%20downhill%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW22489549.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW22489549.htm,Copy Link,Flag as Inappropriate
Former Employee - Software Engineering,"August 19, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW22041272.htm,"""Software Engineer""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I worked at Google full-time for more than 8 years,Pros,Nice people to work with,Cons,Easy to replace as the team is full of super stars,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW22041272.htm&text=Google+review+on+%23Glassdoor%3A+%22Software%20Engineer%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Software%20Engineer%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW22041272.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW22041272.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"August 15, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW21978954.htm,"""Partner Ops""",5.0,,,,,,I have been working at Google full-time,Pros,the company benefits are uncomparable,Cons,nothing that i can think of,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW21978954.htm&text=Google+review+on+%23Glassdoor%3A+%22Partner%20Ops%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Partner%20Ops%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW21978954.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW21978954.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"July 30, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW21718712.htm,"""""Golden Handcuffs""""",4.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,"Amazing company to start off in, insane perks, incredible workforce and network, great salary, huge learning opportunities",Cons,"Can be afraid to leave, get syphoned off into one vertical, difficult to move around",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW21718712.htm&text=Google+review+on+%23Glassdoor%3A+%22%22Golden%20Handcuffs%22%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22%22Golden%20Handcuffs%22%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW21718712.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW21718712.htm,Copy Link,Flag as Inappropriate
Current Employee - Software Engineer,"June 28, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW21245262.htm,"""Awesome company!""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,Growing rapidly despite its mega size,Cons,Hiring process is too slow and painful for candidates,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW21245262.htm&text=Google+review+on+%23Glassdoor%3A+%22Awesome%20company!%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Awesome%20company!%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW21245262.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW21245262.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"June 4, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW20877811.htm,"""Account Manager""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for less than a year,Pros,"Good vibe, Rewarding benefit, work life balance",Cons,Flexible at the core of everything,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW20877811.htm&text=Google+review+on+%23Glassdoor%3A+%22Account%20Manager%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Account%20Manager%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW20877811.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW20877811.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"May 28, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW20785382.htm,"""Best place to work for""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,"Great people , dynamic and fast pace workplace",Cons,"Google is big, so it depends on the team and your manager you work for.",,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW20785382.htm&text=Google+review+on+%23Glassdoor%3A+%22Best%20place%20to%20work%20for%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Best%20place%20to%20work%20for%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW20785382.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW20785382.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"June 2, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW20856881.htm,"""Sales""",4.0,,,,,,I have been working at Google full-time,Pros,Good brand. Innovative. Nice colleagues and wiling to lend a hand whenever help is needed.,Cons,Silo. Need more collaboration. foster more teamwork and able to focus on career development,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW20856881.htm&text=Google+review+on+%23Glassdoor%3A+%22Sales%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Sales%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW20856881.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW20856881.htm,Copy Link,Flag as Inappropriate
Former Employee - Technical Solutions Consultant,"May 2, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW20394681.htm,"""Technical Solution Consultant""",5.0,in Singapore,Singapore,,,,I worked at Google full-time for more than 5 years,Pros,"Good balance, good pay, excellent culture.",Cons,Lack of opportunities for career development,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW20394681.htm&text=Google+review+on+%23Glassdoor%3A+%22Technical%20Solution%20Consultant%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Technical%20Solution%20Consultant%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW20394681.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW20394681.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"May 16, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW20607757.htm,"""Neutral""",3.0,,,,,,I have been working at Google part-time,Pros,Learn from smart people.,Cons,"Very Competitive, not suitable for everyone.",,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW20607757.htm&text=Google+review+on+%23Glassdoor%3A+%22Neutral%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Neutral%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW20607757.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW20607757.htm,Copy Link,Flag as Inappropriate
Former Employee - Anonymous Employee,"March 14, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW19681849.htm,"""Wonderful experience.""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I worked at Google part-time for less than a year,Pros,Good pay and very supportive colleagues. Nice environment. I like it very much. The benefits are a lot and I suggest people to work here.,Cons,None at the moment. Google is a big and good company. It is my pleasure to work at one of the biggest company in the world.,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW19681849.htm&text=Google+review+on+%23Glassdoor%3A+%22Wonderful%20experience.%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Wonderful%20experience.%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW19681849.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW19681849.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"April 2, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW19981879.htm,"""account manager""",3.0,,,No Opinion of CEO,,,I have been working at Google full-time for more than 5 years,Pros,"brilliant minds, good food, great facilities",Cons,"too much work pressure, dirty politics",,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW19981879.htm&text=Google+review+on+%23Glassdoor%3A+%22account%20manager%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22account%20manager%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW19981879.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW19981879.htm,Copy Link,Flag as Inappropriate
Systems Analyst,"March 24, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW19854192.htm,"""Great Pantry""",4.0,,,,,,I worked at Google  for less than a year,Pros,the pantry was the best thing,Cons,most people who work there are over qualified,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW19854192.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20Pantry%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20Pantry%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW19854192.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW19854192.htm,Copy Link,Flag as Inappropriate
Senior Software Engineer,"February 7, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW19120778.htm,"""Nice Place to work""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google  for more than 3 years,Pros,Awesome working place to work,Cons,sleepless nights. countless meetings to attend,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW19120778.htm&text=Google+review+on+%23Glassdoor%3A+%22Nice%20Place%20to%20work%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Nice%20Place%20to%20work%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW19120778.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW19120778.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"January 31, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW19001437.htm,"""Great Culture""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,"Great culture, good perks, smart people to work with",Cons,The company is getting too big,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW19001437.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20Culture%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20Culture%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW19001437.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW19001437.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"January 28, 2018",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW18952930.htm,"""SPD""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,Relaxed work culture and great benefits,Cons,"Not innovative enough, admin  stuff",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW18952930.htm&text=Google+review+on+%23Glassdoor%3A+%22SPD%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22SPD%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW18952930.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW18952930.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"December 7, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW18254475.htm,"""Great place to work!""",4.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,"culture of innovation 
freedom of expression",Cons,slightly bureaucratic as it grows in size,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW18254475.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20place%20to%20work!%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20place%20to%20work!%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW18254475.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW18254475.htm,Copy Link,Flag as Inappropriate
Former Employee - Senior Technical Solutions Consultant,"September 13, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW16816692.htm,"""Best company to work for""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I worked at Google full-time for more than 3 years,Pros,Google is the best big company to work for on the planet. Period. The culture and openness standout for me more than the free food and drinks. You'll learn a lot from some amazing people from all walks of life. Great work life balance usually but also quite competitive.,Cons,Big company. You feel like you're not making so much of an impact at times. It isn't want it used to be. Director to VP levels can get quite political.,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW16816692.htm&text=Google+review+on+%23Glassdoor%3A+%22Best%20company%20to%20work%20for%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Best%20company%20to%20work%20for%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW16816692.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW16816692.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"September 30, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW17103442.htm,"""Eat like a kimg""",4.0,,,,,,I have been working at Google full-time,Pros,Good and free food there,Cons,"Fast moving environment, political colleagues",,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW17103442.htm&text=Google+review+on+%23Glassdoor%3A+%22Eat%20like%20a%20kimg%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Eat%20like%20a%20kimg%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW17103442.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW17103442.htm,Copy Link,Flag as Inappropriate
Current Employee - Recruiter,"October 17, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW17412278.htm,"""Used to be great, now just a normal corporate. Not a place for work life balance.""",1.0,,,Doesn't Recommend,Negative Outlook,No Opinion of CEO,I have been working at Google full-time for more than 5 years,Pros,Pay standard is still good. Good benefits and perks. Management's efforts for transparency is still better than most companies. People are still better than most companies.,Cons,"When I joined Google 7 years ago, I used to be amazed at people and culture every day. Over the time as the company grows to a large corporate with more hierarchy and corporate politics and most of founding management left, it's now just a normal company with corporate double talks and lack of transparency from management. People and culture are still better than most companies but not amazing any longer.
Also company wide issue is detaching from work. Over many years here, I've never seen a college doing well without doing overtime (might be possible in a large operational team though). People may leave the office early but will dial back in to work at night. It was okay when I was single but not when I need family time with 2 small kids. Burn outs are quite common as the performance evaluation is based on comparison to your peers who are bright talents and work 24/7.",Continue reading,Share on Facebook,"https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW17412278.htm&text=Google+review+on+%23Glassdoor%3A+%22Used%20to%20be%20great,%20now%20just%20a%20normal%20corporate.%20Not%20a%20place%20for%20work%20life%20balance.%22",Share on Twitter,"mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Used%20to%20be%20great,%20now%20just%20a%20normal%20corporate.%20Not%20a%20place%20for%20work%20life%20balance.%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW17412278.htm",Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW17412278.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"September 12, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW16781868.htm,"""Great work perks!""",5.0,,,,,,I have been working at Google full-time,Pros,Free food and Employee benefits,Cons,Work life balance and lack of good execution,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW16781868.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20work%20perks!%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20work%20perks!%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW16781868.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW16781868.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"August 18, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW16415029.htm,"""Smartest, kindest people""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 5 years,Pros,"Smart people, Friendly colleagues, Good managers",Cons,slowing down due to larger size of org,Continue reading,Share on Facebook,"https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW16415029.htm&text=Google+review+on+%23Glassdoor%3A+%22Smartest,%20kindest%20people%22",Share on Twitter,"mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Smartest,%20kindest%20people%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW16415029.htm",Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW16415029.htm,Copy Link,Flag as Inappropriate
Current Employee - Product Lead,"August 6, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW16237638.htm,"""Greatest place to work""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than a year,Pros,"People to work with, scope of jobs and career opportunities, autonomy and trust, perks",Cons,High internal and external competition for the same jobs,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW16237638.htm&text=Google+review+on+%23Glassdoor%3A+%22Greatest%20place%20to%20work%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Greatest%20place%20to%20work%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW16237638.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW16237638.htm,Copy Link,Flag as Inappropriate
Program Manager,"June 6, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW15365258.htm,"""Was of great culture""",5.0,,,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,I worked at Google  for more than 3 years,Pros,"Awesome benefits and good multi national multi cultural colleagues, i am asian and they actually thought that every asian knows martial arts!! LOL.",Cons,Too much unneccessary legal process that slows down work and orders. getting in too many Politicial Managers.... less real work done.,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW15365258.htm&text=Google+review+on+%23Glassdoor%3A+%22Was%20of%20great%20culture%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Was%20of%20great%20culture%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW15365258.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW15365258.htm,Copy Link,Flag as Inappropriate
Former Employee - Anonymous Employee,"May 30, 2017",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW15256202.htm,"""Territory Manager""",1.0,,,Doesn't Recommend,Negative Outlook,Disapproves of CEO,I worked at Google full-time,Pros,"Great Perks, great events and diversity",Cons,"Fail to live up to the expectation of the Smart People. Employing too many former Oracle, AWS  staff... employment judgement base on Talk Only.. making the environment political...",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW15256202.htm&text=Google+review+on+%23Glassdoor%3A+%22Territory%20Manager%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Territory%20Manager%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW15256202.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW15256202.htm,Copy Link,Flag as Inappropriate
